ID,Source,loc_key,score_Expert,label_Expert,score_EWM,label_EWM,score_CRITIC,label_CRITIC,score_AHP,label_AHP,score_Multiplicative,label_Multiplicative,score_MeanDev,label_MeanDev
27.0,1-1,location1,0.3588428899310055,低风险,0.1933217112406601,低风险,0.4266218666288481,中风险,0.4785053191422771,中风险,0.3772509419611311,低风险,0.3661496323372618,低风险
55.0,1-2,location1,0.5120887848682356,中风险,0.2847286533991405,低风险,0.5821122030508812,中风险,0.6557481857988877,高风险,0.5204948753351558,中风险,0.5075296807496364,中风险
85.0,1-1,location1,0.31400023147423045,低风险,0.2018884524108137,低风险,0.3808890829691681,低风险,0.44407622827765364,中风险,0.3524528293565182,低风险,0.34228458788587846,低风险
94.0,1-2,location1,0.4643206121172055,中风险,0.2602654718735398,低风险,0.5529763280864916,中风险,0.5693203704285089,中风险,0.48137150415448865,中风险,0.46085405679618,中风险
156.0,1-2,location1,0.06774260565750036,低风险,0.02314375967113714,低风险,0.058459594044736406,低风险,0.14163646604134328,低风险,0.06510349310030217,低风险,0.0744132732524056,低风险
196.0,1-2,location1,0.3292076196164827,低风险,0.14975646292751443,低风险,0.30930777944373683,低风险,0.45672556683989907,中风险,0.29304236792712063,低风险,0.3052632697370501,低风险
240.0,1-2,location1,0.3747802915659446,低风险,0.19265950258042505,低风险,0.29582147016210886,低风险,0.4688793721752439,中风险,0.2986295377165619,低风险,0.3191201149725926,低风险
248.0,1-2,location1,0.1349083027550339,低风险,0.0638583222816195,低风险,0.1673826775439003,低风险,0.12437923136034834,低风险,0.13005588641706325,低风险,0.11854007706195606,低风险
265.0,1-2,location1,0.3927182824997972,低风险,0.19165092265064546,低风险,0.3789513227331473,低风险,0.46263809133038525,中风险,0.3417848976072378,低风险,0.34441344557139264,低风险
318.0,1-1,location1,0.3348800090918045,低风险,0.15834262835444896,低风险,0.3356927385600192,低风险,0.40727763512883375,中风险,0.2994907218968247,低风险,0.3004376673477673,低风险
324.0,1-1,location1,0.3220524390769633,低风险,0.12391696883918171,低风险,0.34041767553901964,低风险,0.5225408602578752,中风险,0.31652664056085594,低风险,0.32895850154535883,低风险
343.0,1-2,location1,0.3810663651597958,低风险,0.38066388034698606,低风险,0.29983406528771744,低风险,0.47473161952353043,中风险,0.35229027194859747,低风险,0.3850765217194113,低风险
388.0,1-2,location1,0.5254695949921012,中风险,0.29557216660231905,低风险,0.5405217346251725,中风险,0.6202914916357564,高风险,0.491397314665583,中风险,0.4854617976210826,中风险
413.0,1-1,location1,0.6796061345613725,高风险,0.47390089966420396,中风险,0.786233356124195,高风险,0.7654029145229831,高风险,0.703080841473635,高风险,0.6751790567704605,高风险
414.0,1-2,location1,0.6481461435031114,高风险,0.37752283722830293,低风险,0.7872841162975736,高风险,0.7566181919320636,高风险,0.6775408819866783,高风险,0.64047504848598,高风险
429.0,1-2,location1,0.3360859291295207,低风险,0.15965392674773016,低风险,0.35008364761178257,低风险,0.4516022878890736,中风险,0.31662520874098815,低风险,0.32044662074952873,低风险
431.0,1-1,location1,0.11654965047479793,低风险,0.055168325372413306,低风险,0.14460483280039976,低风险,0.10745340090516937,低风险,0.11235756283749664,低风险,0.10240885302599415,低风险
432.0,1-2,location1,0.5840003140214048,中风险,0.29108291354362753,低风险,0.5570090552137497,中风险,0.6631077315809819,高风险,0.5013033352915583,中风险,0.5037332334461196,中风险
462.0,1-2,location1,0.45048786474698443,中风险,0.21980142539273326,低风险,0.4771813750763945,中风险,0.6007424079731223,高风险,0.431808726344127,中风险,0.43257506948075,中风险
