ID,Source,loc_key,score_Expert,label_Expert,score_EWM,label_EWM,score_CRITIC,label_CRITIC,score_AHP,label_AHP,score_Multiplicative,label_Multiplicative,score_MeanDev,label_MeanDev
1.0,1-1,location1,0.4111711926580765,高风险,0.24816344655002925,中风险,0.5730782250140865,高风险,0.6348973220431985,高风险,0.4587933576690385,高风险,0.4853796645357714,高风险
1.0,1-2,location1,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险
2.0,1-2,location1,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险
3.0,1-1,location1,0.371390676961781,高风险,0.2501744498146416,中风险,0.4679001235957404,高风险,0.5863665020083915,高风险,0.4222367099628158,高风险,0.43481369180625784,高风险
3.0,1-2,location1,0.28823081036498216,中风险,0.14133521821137304,低风险,0.4502819401205182,高风险,0.5382406595630451,高风险,0.3533235378232365,高风险,0.3766192726316455,高风险
4.0,1-2,location1,0.0022643729570231723,低风险,0.0023833928316722547,低风险,0.001642972499293981,低风险,0.0005928662447097796,低风险,0.0015385047064710835,低风险,0.001539743858558672,低风险
5.0,1-1,location1,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险
6.0,1-1,location1,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险
6.0,1-2,location1,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险
7.0,1-1,location1,0.3089607765605916,中风险,0.19214290628165767,低风险,0.422184290331762,高风险,0.4608830481631047,高风险,0.3392354623509043,中风险,0.35840341492550815,高风险
7.0,1-2,location1,0.30510916211566375,中风险,0.1521121033766779,低风险,0.4696302083472483,高风险,0.5887422891191041,高风险,0.3815051982167279,高风险,0.4034948669476768,高风险
9.0,1-1,location1,0.10745969080458961,低风险,0.043064631586631937,低风险,0.18220540488398052,低风险,0.22816757528892115,中风险,0.1410857831197493,低风险,0.15114587058651122,低风险
9.0,1-2,location1,0.1277977762200392,低风险,0.051215149692872206,低风险,0.21669004800868139,中风险,0.2713511318441007,中风险,0.1677880254816127,低风险,0.17975210984855144,低风险
