where,curve_idx,direction,a5,a4,a3,a2,a1,a0
2-1,0,1,-4.631530934200868e-13,5.82370458979084e-10,-1.7227210297217264e-07,2.3795267539140217e-05,-7.128146242568013e-05,12.974002935488187
2-1,1,1,-4.631530934200868e-13,5.82370458979084e-10,-1.7227210297217264e-07,2.3795267539140217e-05,-7.128146242568013e-05,16.8240029
2-1,2,1,-4.631530934200868e-13,5.82370458979084e-10,-1.7227210297217264e-07,2.3795267539140217e-05,-7.128146242568013e-05,20.5740029
2-1,3,1,-4.631530934200868e-13,5.82370458979084e-10,-1.7227210297217264e-07,2.3795267539140217e-05,-7.128146242568013e-05,24.4240029
2-1,4,2,-1.0217173078803597e-12,1.0723751048295534e-09,-3.0316247361528203e-07,3.5508232663581875e-05,0.0007195755481525477,28.4580299
2-1,5,2,-1.0217173078803597e-12,1.0723751048295534e-09,-3.0316247361528203e-07,3.5508232663581875e-05,0.0007195755481525477,32.3080299
2-1,6,2,-1.0217173078803597e-12,1.0723751048295534e-09,-3.0316247361528203e-07,3.5508232663581875e-05,0.0007195755481525477,36.0580299
2-1,7,2,-1.0217173078803597e-12,1.0723751048295534e-09,-3.0316247361528203e-07,3.5508232663581875e-05,0.0007195755481525477,39.90802998170596
2-2,0,1,2.2830088164242894e-13,-7.49002397314112e-11,3.986457175238073e-08,-2.4394641203644312e-06,-0.005677533224485837,13.71629473829261
2-2,1,1,2.2830088164242894e-13,-7.49002397314112e-11,3.986457175238073e-08,-2.4394641203644312e-06,-0.005677533224485837,17.5662947
2-2,2,1,2.2830088164242894e-13,-7.49002397314112e-11,3.986457175238073e-08,-2.4394641203644312e-06,-0.005677533224485837,21.3162947
2-2,3,1,2.2830088164242894e-13,-7.49002397314112e-11,3.986457175238073e-08,-2.4394641203644312e-06,-0.005677533224485837,25.1662947
2-2,4,2,3.505408558591785e-13,-1.4110744892613108e-10,6.784008304728691e-08,-1.0948985237687198e-05,-0.0028146665003869237,28.949328
2-2,5,2,3.505408558591785e-13,-1.4110744892613108e-10,6.784008304728691e-08,-1.0948985237687198e-05,-0.0028146665003869237,32.799328
2-2,6,2,3.505408558591785e-13,-1.4110744892613108e-10,6.784008304728691e-08,-1.0948985237687198e-05,-0.0028146665003869237,36.549328
2-2,7,2,3.505408558591785e-13,-1.4110744892613108e-10,6.784008304728691e-08,-1.0948985237687198e-05,-0.0028146665003869237,40.399328883486405
2-3,0,1,2.3132734371226303e-13,-6.851962449490811e-11,3.763149849940043e-08,-3.979005244920185e-06,-0.008652138640351456,11.94278756725742
2-3,1,1,2.3132734371226303e-13,-6.851962449490811e-11,3.763149849940043e-08,-3.979005244920185e-06,-0.008652138640351456,15.792787
2-3,2,1,2.3132734371226303e-13,-6.851962449490811e-11,3.763149849940043e-08,-3.979005244920185e-06,-0.008652138640351456,19.502787
2-3,3,1,2.3132734371226303e-13,-6.851962449490811e-11,3.763149849940043e-08,-3.979005244920185e-06,-0.008652138640351456,23.352787
2-3,4,2,-6.155657100736082e-13,7.092046800695812e-10,-1.9671247749935433e-07,2.2829349550298284e-05,-0.007739645285826006,26.86889914
2-3,5,2,-6.155657100736082e-13,7.092046800695812e-10,-1.9671247749935433e-07,2.2829349550298284e-05,-0.007739645285826006,30.72889914
2-3,6,2,-6.155657100736082e-13,7.092046800695812e-10,-1.9671247749935433e-07,2.2829349550298284e-05,-0.007739645285826006,34.47889914
2-3,7,2,-6.155657100736082e-13,7.092046800695812e-10,-1.9671247749935433e-07,2.2829349550298284e-05,-0.007739645285826006,38.28889914379014
2-4,0,1,2.0344121040723594e-15,1.0195302078817242e-10,5.289190619732282e-09,-3.3148013079841987e-06,-0.007138685889089949,12.184087182801745
2-4,1,1,2.0344121040723594e-15,1.0195302078817242e-10,5.289190619732282e-09,-3.3148013079841987e-06,-0.007138685889089949,16.0340871
2-4,2,1,2.0344121040723594e-15,1.0195302078817242e-10,5.289190619732282e-09,-3.3148013079841987e-06,-0.007138685889089949,19.7840871
2-4,3,1,2.0344121040723594e-15,1.0195302078817242e-10,5.289190619732282e-09,-3.3148013079841987e-06,-0.007138685889089949,23.6340871
2-4,4,2,-8.012019412785358e-13,8.780860200646608e-10,-2.480897011181892e-07,3.0596573775005125e-05,-0.006713972831689682,27.28914516
2-4,5,2,-8.012019412785358e-13,8.780860200646608e-10,-2.480897011181892e-07,3.0596573775005125e-05,-0.006713972831689682,31.13914516
2-4,6,2,-8.012019412785358e-13,8.780860200646608e-10,-2.480897011181892e-07,3.0596573775005125e-05,-0.006713972831689682,34.88914516
2-4,7,2,-8.012019412785358e-13,8.780860200646608e-10,-2.480897011181892e-07,3.0596573775005125e-05,-0.006713972831689682,38.739145168423704
