where,curve_idx,direction,a5,a4,a3,a2,a1,a0
3-1,0,1,3.2250984795486654e-13,-4.0667313760190686e-10,1.9472276517790335e-07,-4.3709974192957035e-05,0.007697235242039364,10.128533684720257
3-1,1,1,3.2250984795486654e-13,-4.0667313760190686e-10,1.9472276517790335e-07,-4.3709974192957035e-05,0.007697235242039364,13.9785336
3-1,2,1,3.2250984795486654e-13,-4.0667313760190686e-10,1.9472276517790335e-07,-4.3709974192957035e-05,0.007697235242039364,17.7285336
3-1,3,1,3.2250984795486654e-13,-4.0667313760190686e-10,1.9472276517790335e-07,-4.3709974192957035e-05,0.007697235242039364,21.5785336
3-1,4,2,4.0672093018045197e-13,-4.5960364003206444e-10,1.9880900541404605e-07,-3.705516589638262e-05,0.009353975451440663,25.224335
3-1,5,2,4.0672093018045197e-13,-4.5960364003206444e-10,1.9880900541404605e-07,-3.705516589638262e-05,0.009353975451440663,29.074335
3-1,6,2,4.0672093018045197e-13,-4.5960364003206444e-10,1.9880900541404605e-07,-3.705516589638262e-05,0.009353975451440663,32.824335
3-1,7,2,4.0672093018045197e-13,-4.5960364003206444e-10,1.9880900541404605e-07,-3.705516589638262e-05,0.009353975451440663,36.67433549046906
3-2,0,1,1.2265400107528834e-12,-1.3414540464135508e-09,5.429426266529992e-07,-0.00010067056566900465,-0.0051799751483795325,12.972743016815265
3-2,1,1,1.2265400107528834e-12,-1.3414540464135508e-09,5.429426266529992e-07,-0.00010067056566900465,-0.0051799751483795325,16.822743016815267
3-2,2,1,-1.1374964295537685e-12,4.373037068026086e-10,2.1269931352754397e-07,-0.00011661561717722574,0.0020870229216178207,20.28062795877894
3-2,3,1,-1.1374964295537685e-12,4.373037068026086e-10,2.1269931352754397e-07,-0.00011661561717722574,0.0020870229216178207,24.13062795877894
3-2,4,2,1.6843485452870714e-12,-1.8505043766372588e-09,7.538905145459475e-07,-0.00013908597864014033,-0.00072764056219517,28.090996171916462
3-2,5,2,1.6843485452870714e-12,-1.8505043766372588e-09,7.538905145459475e-07,-0.00013908597864014033,-0.00072764056219517,31.940996171916463
3-2,6,2,3.260091742723246e-13,-4.2576499127337816e-10,2.081099709808642e-07,-4.378666176727832e-05,-0.007348332418734445,35.664377181581614
3-2,7,2,3.260091742723246e-13,-4.2576499127337816e-10,2.081099709808642e-07,-4.378666176727832e-05,-0.007348332418734445,39.514377181581615
3-3,0,1,7.120251763535828e-13,-8.483539430755503e-10,3.7550196832221116e-07,-7.58587131818955e-05,-0.0009042444177837483,11.963073014391352
3-3,1,1,7.120251763535828e-13,-8.483539430755503e-10,3.7550196832221116e-07,-7.58587131818955e-05,-0.0009042444177837483,15.813073014391351
3-3,2,1,2.4382818864357912e-12,-2.665315843091875e-09,1.0783239364369887e-06,-0.0002025808174843957,0.011102664360734423,19.32520867146897
3-3,3,1,2.4382818864357912e-12,-2.665315843091875e-09,1.0783239364369887e-06,-0.0002025808174843957,0.011102664360734423,23.175208671468972
3-3,4,2,-1.1369371430175208e-12,1.1980026785561688e-09,-4.3636286089179924e-07,6.0339650746840324e-05,-0.007654904572872022,27.3070096052
3-3,5,2,6.244974169014263e-13,-6.845529696195177e-10,2.867429823009713e-07,-5.448313414828518e-05,-0.0004131253791510685,30.8270096052
3-3,6,2,6.244974169014263e-13,-6.845529696195177e-10,2.867429823009713e-07,-5.448313414828518e-05,-0.0004131253791510685,34.5770096052
3-3,7,2,6.244974169014263e-13,-6.845529696195177e-10,2.867429823009713e-07,-5.448313414828518e-05,-0.0004131253791510685,38.42700960529091
3-4,0,1,6.288409194588022e-13,-7.269468515782963e-10,3.203811118458272e-07,-6.716886602781324e-05,-0.006651377764250777,13.737792189331225
3-4,1,1,6.288409194588022e-13,-7.269468515782963e-10,3.203811118458272e-07,-6.716886602781324e-05,-0.006651377764250777,17.587792189331225
3-4,2,1,9.362933948714398e-13,-1.7022648305476975e-09,9.331138331012507e-07,-0.00019457539396690207,0.0010699692672052142,21.40552818109225
3-4,3,1,9.362933948714398e-13,-1.7022648305476975e-09,9.331138331012507e-07,-0.00019457539396690207,0.0010699692672052142,25.255528181092252
3-4,4,2,1.327416627231845e-13,-2.1242019333802095e-10,1.2943996979299804e-07,-3.2805561407194206e-05,-0.007225955730798546,28.76374782
3-4,5,2,1.327416627231845e-13,-2.1242019333802095e-10,1.2943996979299804e-07,-3.2805561407194206e-05,-0.007225955730798546,32.61374782
3-4,6,2,1.327416627231845e-13,-2.1242019333802095e-10,1.2943996979299804e-07,-3.2805561407194206e-05,-0.007225955730798546,36.36374782964782
3-4,7,2,1.327416627231845e-13,-2.1242019333802095e-10,1.2943996979299804e-07,-3.2805561407194206e-05,-0.007225955730798546,40.21374782964782
